customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-09-02
2,김정호,F,32,대구,2026-01-16
3,이경수,F,61,성남,2024-08-26
4,조영호,F,55,울산,2026-06-27
5,이예원,F,19,부산,2024-11-27
6,김지원,F,32,성남,2026-09-10
7,이상현,F,53,인천,2025-02-25
8,이성호,M,32,수원,2025-03-09
9,송지민,M,69,서울,2026-01-02
10,유도현,F,62,울산,2024-12-20
11,강채원,M,35,대구,2026-03-06
12,김정남,F,66,대전,2024-12-14
13,고채원,F,23,울산,2025-05-04
14,윤성호,F,40,대전,2025-04-19
15,장정식,M,69,서울,2026-08-18
16,강보람,M,52,부산,2024-10-06
17,이현준,M,23,성남,2026-06-12
18,김순옥,M,58,고양,2023-12-17
19,김성수,M,54,인천,2024-11-10
20,백영호,F,20,인천,2025-01-22
21,박중수,M,23,인천,2026-06-16
22,이상호,F,42,광주,2026-02-10
23,신영자,M,58,대전,2026-03-16
24,김현준,F,41,대전,2025-11-21
25,권준호,F,60,광주,2024-05-16
26,안영자,F,56,대구,2023-12-29
27,최영수,F,28,수원,2024-10-16
28,고경숙,M,35,성남,2024-03-17
29,박수민,F,61,대전,2026-06-13
30,이민재,F,32,서울,2023-09-27
31,양수민,M,43,광주,2025-11-07
32,박미숙,F,31,고양,2026-05-20
33,윤우진,M,31,수원,2024-05-16
34,김진호,M,59,수원,2025-12-23
35,최예지,F,34,대구,2024-03-13
36,양지현,F,65,성남,2025-01-11
37,김영호,M,65,고양,2024-01-22
38,박도윤,M,55,울산,2025-12-27
39,김예은,M,32,대구,2026-01-23
40,박예준,M,23,서울,2024-08-16
41,권정순,F,27,대구,2025-01-18
42,장성호,M,56,부산,2025-12-04
43,김도윤,M,42,고양,2023-10-24
44,김서윤,M,51,광주,2024-01-10
45,김명자,F,61,부산,2023-11-09
46,김서현,M,67,대전,2026-07-27
47,박정웅,F,36,울산,2026-02-25
48,김예은,F,47,서울,2025-06-15
49,김시우,M,50,대구,2025-07-11
50,문도윤,F,58,광주,2026-07-03
51,김영순,F,27,대전,2025-03-02
52,김서연,F,52,성남,2026-01-02
53,이서준,F,56,대전,2024-10-14
54,김지원,M,19,부산,2026-01-23
55,윤영철,M,69,광주,2023-10-14
56,남지혜,F,21,인천,2024-06-06
57,박준호,F,23,수원,2023-12-22
58,김성훈,F,66,성남,2025-08-28
59,한정웅,F,26,수원,2026-02-01
60,박서연,F,34,성남,2024-08-25
61,최유진,M,31,성남,2025-01-21
62,최영일,F,63,광주,2025-12-25
63,성도현,M,60,대전,2024-07-06
64,김준호,M,51,수원,2025-06-10
65,손상호,F,33,인천,2026-04-02
66,김재호,F,39,서울,2026-02-16
67,심서영,F,55,인천,2025-01-22
68,이정남,F,22,서울,2024-12-31
69,남진우,F,22,서울,2023-10-06
70,엄현준,M,22,성남,2024-01-13
71,박미정,F,35,수원,2025-03-17
72,양영미,F,52,대구,2024-05-24
73,정성민,M,33,수원,2026-07-03
74,장윤서,M,30,부산,2026-07-18
75,양상훈,F,60,울산,2024-03-06
76,김수빈,M,45,울산,2024-08-14
77,김은주,M,64,서울,2024-11-05
78,김하은,F,21,울산,2023-12-09
79,이서준,M,69,부산,2023-09-27
80,김현우,F,30,인천,2024-05-30
81,최영자,M,26,울산,2023-10-07
82,노정수,F,35,수원,2024-05-10
83,전은경,F,22,수원,2024-05-09
84,김성호,F,21,성남,2023-11-22
85,김선영,F,23,인천,2024-02-28
86,최준호,F,44,수원,2026-05-13
87,유서현,M,31,울산,2024-05-31
88,송춘자,F,28,울산,2023-10-30
89,유종수,F,42,광주,2025-06-22
90,문지원,M,36,울산,2024-11-09
91,한성훈,M,27,인천,2023-11-21
92,김지은,M,31,서울,2025-09-06
93,류준호,F,65,대전,2024-09-02
94,김성진,F,21,고양,2024-01-07
95,이은주,M,50,성남,2025-06-03
96,홍순옥,F,21,성남,2023-11-03
97,주민준,F,29,부산,2024-11-07
98,최성현,F,61,인천,2025-01-21
99,나민석,M,25,고양,2026-03-05
100,김시우,F,55,고양,2025-12-07
101,박정희,F,57,부산,2026-07-29
102,이진호,M,60,고양,2025-02-15
103,장미정,M,34,인천,2024-12-31
104,장순옥,M,33,광주,2026-09-09
105,김승현,M,26,광주,2025-05-02
106,배은정,M,38,부산,2025-01-01
107,전성수,F,47,고양,2024-08-13
108,최재호,F,22,성남,2025-09-13
